City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
Lincoln,72,Nebraska,18,268738,40.8257625
Buffalo,73,New York,-11.3,258959,42.8864468
Jersey City,74,New Jersey,7.2,257342,40.7281575
Chula Vista,75,California,46.2,256780,32.6400541
Fort Wayne,76,Indiana,1,256496,41.079273
Orlando,77,Florida,31.2,255483,28.5383355
St. Petersburg,78,Florida,0.3,249688,27.773056
Chandler,79,Arizona,38.7,249146,33.3061605
Laredo,80,Texas,38.2,248142,27.5305671
Norfolk,81,Virginia,5,246139,36.8507689
Durham,82,North Carolina,29.9,245475,35.9940329
Madison,83,Wisconsin,15.8,243344,43.0730517
Lubbock,84,Texas,19.6,239538,33.5778631
Irvine,85,California,61.3,236716,33.6839473
Winston-Salem,86,North Carolina,16.9,236441,36.0998596
Glendale,87,Arizona,5.7,234632,33.5386523
Garland,88,Texas,8.5,234566,32.912624
Hialeah,89,Florida,3.2,233394,25.8575963
Reno,90,Nevada,26.8,233294,39.5296329
Chesapeake,91,Virginia,15.1,230571,36.7682088
Gilbert,92,Arizona,96,229972,33.3528264
Baton Rouge,93,Louisiana,0.4,229426,30.4582829
Irving,94,Texas,19.1,228653,32.8140177
Scottsdale,95,Arizona,11,226918,33.4941704
North Las Vegas,96,Nevada,92.2,226877,36.1988592
Fremont,97,California,10,224922,37.5482697
Boise City,98,Idaho,9.5,214237,43.6187102
Richmond,99,Virginia,8.2,214114,37.5407246
San Bernardino,100,California,13,213708,34.1083449
Birmingham,101,Alabama,-12.3,212113,33.5206608
Spokane,102,Washington,7,210721,47.6587802
Rochester,103,New York,-4.1,210358,43.16103
Des Moines,104,Iowa,3.9,207510,41.6005448
Modesto,105,California,7.7,204933,37.6390972
Fayetteville,106,North Carolina,2.4,204408,35.0526641
Tacoma,107,Washington,4.9,203446,47.2528768
Oxnard,108,California,18.2,203007,34.1975048
Fontana,109,California,38.3,203003,34.0922335
Columbus,110,Georgia,8.7,202824,32.4609764
Montgomery,111,Alabama,-0.1,201332,32.3668052
Moreno Valley,112,California,40.4,201175,33.9424658
Shreveport,113,Louisiana,-0.1,200327,32.5251516
Aurora,114,Illinois,38.4,199963,41.7605849
Yonkers,115,New York,1.8,199766,40.9312099
Akron,116,Ohio,-8.6,198100,41.0814447
Huntington Beach,117,California,3.9,197575,33.660297
Little Rock,118,Arkansas,7.6,197357,34.7464809
Augusta-Richmond County,119,Georgia,1.1,197350,33.4734978
Amarillo,120,Texas,12.8,196429,35.2219971
Glendale,121,California,0.3,196021,34.1425078
Mobile,122,Alabama,-1.9,194899,30.6953657
Grand Rapids,123,Michigan,-2.8,192294,42.9633599
Salt Lake City,124,Utah,5.1,191180,40.7607793
Tallahassee,125,Florida,21.8,186411,30.4382559
Huntsville,126,Alabama,16.3,186254,34.7303688
Grand Prairie,127,Texas,43.1,183372,32.7459645
Knoxville,128,Tennessee,3.9,183270,35.9606384
Worcester,129,Massachusetts,5.8,182544,42.2625932
Newport News,130,Virginia,0.9,182020,37.0870821
Brownsville,131,Texas,26.8,181860,25.9017472
Overland Park,132,Kansas,19.4,181260,38.9822282
Santa Clarita,133,California,15.3,179590,34.3916641
Providence,134,Rhode Island,2.3,177994,41.8239891
Garden Grove,135,California,5.8,175140,33.7739053
Chattanooga,136,Tennessee,10.5,173366,35.0456297
Oceanside,137,California,6.6,172794,33.1958696
Jackson,138,Mississippi,-6.8,172638,32.2987573
Fort Lauderdale,139,Florida,0.7,172389,26.1224386
Santa Rosa,140,California,15.2,171990,38.440429
Rancho Cucamonga,141,California,32.7,171386,34.1063989
Port St. Lucie,142,Florida,91.7,171016,27.2730492
Tempe,143,Arizona,5.8,168228,33.4255104
Ontario,144,California,5.5,167500,34.0633443
Vancouver,145,Washington,14.2,167405,45.6387281
Cape Coral,146,Florida,60.4,165831,26.5628537
Sioux Falls,147,South Dakota,31.1,164676,43.5445959
Springfield,148,Missouri,7.8,164122,37.2089572
Peoria,149,Arizona,46.5,162592,33.5805955
Pembroke Pines,150,Florida,17.4,162329,26.007765
Elk Grove,151,California,97.1,161007,38.4087993
Salem,152,Oregon,16.4,160614,44.9428975
Lancaster,153,California,33.8,159523,34.6867846
Corona,154,California,23.6,159503,33.8752935
Eugene,155,Oregon,14.4,159190,44.0520691
Palmdale,156,California,33.7,157161,34.5794343
Salinas,157,California,8.4,155662,36.6777372
Springfield,158,Massachusetts,1.1,153703,42.1014831
Pasadena,159,Texas,7.5,152735,29.6910625
Fort Collins,160,Colorado,26.6,152061,40.5852602
Hayward,161,California,7.5,151574,37.6688205
Pomona,162,California,2.1,151348,34.055103
Cary,163,North Carolina,55.1,151088,35.79154
Rockford,164,Illinois,-1,150251,42.2711311
Alexandria,165,Virginia,15,148892,38.8048355
Escondido,166,California,10.7,148738,33.1192068
McKinney,167,Texas,165.3,148559,33.1972465
Kansas City,168,Kansas,1.1,148483,39.114053
Joliet,169,Illinois,36.5,147806,41.525031
Sunnyvale,170,California,11.9,147559,37.36883
Torrance,171,California,6.6,147478,33.8358492
Bridgeport,172,Connecticut,5.4,147216,41.1865478
Lakewood,173,Colorado,1.9,147214,39.7047095
Hollywood,174,Florida,4.8,146526,26.0112014
Paterson,175,New Jersey,-2.2,145948,40.9167654
Naperville,176,Illinois,12,144864,41.7508391
Syracuse,177,New York,-0.9,144669,43.0481221
Mesquite,178,Texas,14.7,143484,32.7667955
Dayton,179,Ohio,-13.5,143355,39.7589478
Savannah,180,Georgia,7.5,142772,32.0835407
Clarksville,181,Tennessee,36.9,142357,36.5297706
Orange,182,California,7.7,139969,33.7877944
Pasadena,183,California,3.8,139731,34.1477849
Fullerton,184,California,9.8,138981,33.8703596
Killeen,185,Texas,52.1,137147,31.1171194
Frisco,186,Texas,287.7,136791,33.1506744
Hampton,187,Virginia,-6.6,136699,37.0298687
McAllen,188,Texas,27.6,136639,26.2034071
Warren,189,Michigan,-2.3,134873,42.5144566
Bellevue,190,Washington,19.1,133992,47.610377
West Valley City,191,Utah,22.2,133579,40.6916132
Columbia,192,South Carolina,11.7,133358,34.0007104
Olathe,193,Kansas,40.4,131885,38.8813958
Sterling Heights,194,Michigan,5.2,131224,42.5803122
New Haven,195,Connecticut,5.5,130660,41.308274
Miramar,196,Florida,74.7,130288,25.9860762
Waco,197,Texas,12.5,129030,31.549333
Thousand Oaks,198,California,9.5,128731,34.1705609
Cedar Rapids,199,Iowa,5.4,128429,41.9778795
Charleston,200,South Carolina,29.2,127999,32.7764749
Visalia,201,California,33.6,127763,36.3302284
Topeka,202,Kansas,3.4,127679,39.0558235
Elizabeth,203,New Jersey,5.5,127558,40.6639916
Gainesville,204,Florida,12.8,127488,29.6516344
Thornton,205,Colorado,52.9,127359,39.8680412
Roseville,206,California,56.2,127035,38.7521235
Carrollton,207,Texas,14.9,126700,32.9756415
Coral Springs,208,Florida,5.7,126604,26.271192
Stamford,209,Connecticut,7.6,126456,41.0534302
Simi Valley,210,California,12.6,126181,34.2694474
Concord,211,California,2.9,125880,37.9779776
Hartford,212,Connecticut,0.6,125017,41.7637111
Kent,213,Washington,54.3,124435,47.3809335
Lafayette,214,Louisiana,11,124276,30.2240897
Midland,215,Texas,30.4,123933,31.9973456
Surprise,216,Arizona,281.9,123546,33.6292337
Denton,217,Texas,47.1,123099,33.2148412
Victorville,218,California,87.6,121096,34.5362184
Evansville,219,Indiana,-0.8,120310,37.9715592
Santa Clara,220,California,17.4,120245,37.3541079
Abilene,221,Texas,3.6,120099,32.4487364
Athens-Clarke County,222,Georgia,19,119980,33.9519347
Vallejo,223,California,1.2,118837,38.1040864
Allentown,224,Pennsylvania,11.2,118577,40.6084305
Norman,225,Oklahoma,22,118197,35.2225668
Beaumont,226,Texas,3.7,117796,30.080174
Independence,227,Missouri,3.2,117240,39.0911161
Murfreesboro,228,Tennessee,65.1,117044,35.8456213
Ann Arbor,229,Michigan,2,117025,42.2808256
Springfield,230,Illinois,4.2,117006,39.7817213
Berkeley,231,California,13.3,116768,37.8715926
Peoria,232,Illinois,3,116513,40.6936488
Provo,233,Utah,10,116288,40.2338438
El Monte,234,California,-0.4,115708,34.0686206
Columbia,235,Missouri,34,115276,38.9517053
Lansing,236,Michigan,-4.4,113972,42.732535
Fargo,237,North Dakota,24.9,113658,46.8771863
Downey,238,California,5.3,113242,33.9401088
Costa Mesa,239,California,2.4,112174,33.6411316
Wilmington,240,North Carolina,24.8,112067,34.2257255
Arvada,241,Colorado,9.2,111707,39.8027644
Inglewood,242,California,-1,111542,33.9616801
Miami Gardens,243,Florida,10.5,111378,25.9420377
Carlsbad,244,California,39.7,110972,33.1580933
Westminster,245,Colorado,9.4,110945,39.8366528
Rochester,246,Minnesota,23.9,110742,44.0121221
Odessa,247,Texas,22.3,110720,31.8456816
Manchester,248,New Hampshire,2.9,110378,42.9956397
Elgin,249,Illinois,16,110145,42.0354084
West Jordan,250,Utah,38.4,110077,40.6096698
Round Rock,251,Texas,81,109821,30.5082551
Clearwater,252,Florida,0.1,109703,27.9658533
Waterbury,253,Connecticut,2.2,109676,41.5581525
Gresham,254,Oregon,20.7,109397,45.5001357
Fairfield,255,California,12.8,109320,38.2493581
Billings,256,Montana,18.6,109059,45.7832856
Lowell,257,Massachusetts,3.4,108861,42.6334247
San Buenaventura (Ventura),258,California,7.4,108817,34.274646
Pueblo,259,Colorado,5.9,108249,38.2544472
High Point,260,North Carolina,24.3,107741,35.9556923
West Covina,261,California,2.3,107740,34.0686208
Richmond,262,California,7.9,107571,37.9357576
Murrieta,263,California,107.4,107479,33.5539143
Cambridge,264,Massachusetts,5.5,107289,42.3736158
Antioch,265,California,16.9,107100,38.0049214
Temecula,266,California,55.4,106780,33.4936391
Norwalk,267,California,1.9,106589,33.9022367
Centennial,268,Colorado,3.5,106114,39.5807452
Everett,269,Washington,9.4,105370,47.9789848
Palm Bay,270,Florida,31.7,104898,28.0344621
Wichita Falls,271,Texas,0.7,104898,33.9137085
Green Bay,272,Wisconsin,1.9,104779,44.519159
Daly City,273,California,1,104739,37.6879241
Burbank,274,California,4.2,104709,34.1808392
Richardson,275,Texas,13.2,104475,32.9483335
Pompano Beach,276,Florida,4,104410,26.2378597
North Charleston,277,South Carolina,27.4,104054,32.8546197
Broken Arrow,278,Oklahoma,28.2,103500,36.060949
Boulder,279,Colorado,9,103166,40.0149856
West Palm Beach,280,Florida,23.5,102436,26.7153424
Santa Maria,281,California,30.9,102216,34.9530337
El Cajon,282,California,7.4,102211,32.7947731
Davenport,283,Iowa,3.9,102157,41.5236437
Rialto,284,California,9.8,101910,34.1064001
Las Cruces,285,New Mexico,37.6,101324,32.3199396
San Mateo,286,California,9,101128,37.5629917
Lewisville,287,Texas,28.9,101074,33.046233
South Bend,288,Indiana,-6.8,100886,41.6763545
Lakeland,289,Florida,18.3,100710,28.0394654
Erie,290,Pennsylvania,-2.8,100671,42.1292241
Tyler,291,Texas,18.6,100223,32.3512601
Pearland,292,Texas,117.2,100065,29.5635666
College Station,293,Texas,45.2,100050,30.627977
Kenosha,294,Wisconsin,9.5,99889,42.5847425
Sandy Springs,295,Georgia,17.4,99770,33.9304352
Clovis,296,California,42.6,99769,36.8252277
Flint,297,Michigan,-20,99763,43.0125274
Roanoke,298,Virginia,3.8,98465,37.2709704
Albany,299,New York,4.1,98424,42.6525793
Jurupa Valley,300,California,,98030,33.9971974
Compton,301,California,4.5,97877,33.8958492
San Angelo,302,Texas,10.2,97492,31.4637723
Hillsboro,303,Oregon,36.4,97368,45.5228939
Lawton,304,Oklahoma,4.9,97151,34.6035669
Renton,305,Washington,88.4,97003,47.4828776
Vista,306,California,7.7,96929,33.2000368
Davie,307,Florida,17.7,96830,26.0764783
Greeley,308,Colorado,23.1,96539,40.4233142
Mission Viejo,309,California,2.9,96346,33.6000232
Portsmouth,310,Virginia,-4.2,96205,36.8354258
Dearborn,311,Michigan,-2,95884,42.3222599
South Gate,312,California,-0.8,95677,33.954737
Tuscaloosa,313,Alabama,21.1,95334,33.2098407
Livonia,314,Michigan,-5.4,95208,42.36837
New Bedford,315,Massachusetts,1.2,95078,41.6362152
Vacaville,316,California,5.4,94275,38.3565773
Brockton,317,Massachusetts,-0.3,94089,42.0834335
Roswell,318,Georgia,15.2,94034,34.0232431
Beaverton,319,Oregon,17,93542,45.487062
Quincy,320,Massachusetts,5.8,93494,42.2528772
Sparks,321,Nevada,39.4,93282,39.5349112
Yakima,322,Washington,11.7,93257,46.6020711
Lee's Summit,323,Missouri,31.2,93184,38.9108408
Federal Way,324,Washington,8.8,92734,47.3223221
Carson,325,California,2.9,92599,33.8316745
Santa Monica,326,California,9.6,92472,34.0194543
Hesperia,327,California,46.1,92147,34.4263886
Allen,328,Texas,104,92020,33.1031744
Rio Rancho,329,New Mexico,74.4,91956,35.2327544
Yuma,330,Arizona,16.2,91923,32.6926512
Westminster,331,California,3.9,91739,33.7513419
Orem,332,Utah,8.5,91648,40.2968979
Lynn,333,Massachusetts,2.6,91589,42.466763
Redding,334,California,11.9,91119,40.5865396
Spokane Valley,335,Washington,12.6,91113,47.6732281
Miami Beach,336,Florida,3.3,91026,25.790654
League City,337,Texas,98.3,90983,29.5074538
Lawrence,338,Kansas,12.7,90811,38.9716689
Santa Barbara,339,California,0.9,90412,34.4208305
Plantation,340,Florida,8.6,90268,26.1275862
Sandy,341,Utah,1.3,90231,40.5649781
Sunrise,342,Florida,4.6,90116,26.1669711
Macon,343,Georgia,-7.3,89981,32.8406946
Longmont,344,Colorado,24.4,89919,40.1672068
Boca Raton,345,Florida,7.5,89407,26.3683064
San Marcos,346,California,60,89387,33.1433723
Greenville,347,North Carolina,41.9,89130,35.612661
Waukegan,348,Illinois,0.5,88826,42.3636331
Fall River,349,Massachusetts,-3.7,88697,41.7014912
Chico,350,California,14.2,88077,39.7284944
